Key,english

buffDetectionGraceName,AI Detection
buffDetectionGraceDesc,"You are carrying electronic components! AI will be able to detect you."
buffDetectionName,AI Detection
buffDetectionDesc,"You are carrying electronic components! You are now [FF0000]Detected[-] by AI."
resourceElectricPartsBundle,Electric Parts Bundle
resourceElectricPartsBundleDesc,"Bundle the electric parts in a bundle of 5."
resourceMechanicalPartsBundle,Mechanical Parts Bundle
resourceMechanicalPartsBundleDesc,"Bundle the Mechanical parts in a bundle of 5."
resourceNanoChipBundle,Nano Chip Bundle
resourceNanoChipBundleDesc,"Bundle the Nano Chip in a bundle of 5."
