Key,english

autoMiner,Auto Miner
autoMinerDesc,"An auto miner can extract resources over time.\n\nPress [FF0000][action:local:Activate][action:permanent:Activate][-] when looking at the auto miner to open the menu and select which resource you want to mine."
blastFurnace,Blast Furnace
blastFurnaceDesc,"Used to smelt metals to craft tools and weapons or stone to craft cement. Unlock more recipes through perks. Install tools to increase performance or unlock recipes.\nInstallable Tools: Bustle Pipe, Pre heater, Crucible"
cobaltShapes:VariantHelper,Cobalt Block
materialMcobalt_shapes,Cobalt
scrapCobaltPile,Scrap Cobalt Pile
terrOreCobalt,Cobalt Ore
terrOreStoneCobaltRandom,= Cobalt Vein = Helper
oreCobaltBoulder,Cobalt Ore Boulder
cntSedanCarInsecure,Rusty Sedan
cntTruckInsecure,Rover Truck
cntMuscleCarInsecure,Muscle Car
cntPickupTruckInsecure,Pickup Truck
cntSedanCar2Insecure,Luxury Sedan
cntHoverCarInsecure,Hover Car
cntRacingCarInsecure,Racing Car
cntArmoredHoverCarInsecure,Armored Hover Car
cntBlackMuscleCarInsecure,Muscle Car
cntGarbageTruckInsecure,Garbage Truck
cntMotorcycleInsecure,Motorcycle
cntHoverMotorcycleInsecure,Hover Motorcycle
cntPoliceVehicleInsecure,Police Drone
cntPoliceVehicleUnlockedAlarm,Police Drone
signRadiation,Radiation Sign
cntBarrelRadiationSingle,Radiated Barrel
cntBarrelRadiationSingleDesc,"A radiation source, that slowly increases your radiation level when nearby."
cntVendingMachine2BrokenLoot,"Vending Machine, Soda Broken"
cntVendingMachineEnergyBrokenLoot,"Vending Machine, Energy Broken"
cntVendingMachineWaterBrokenLoot,"Vending Machine, Water Broken"
cntSecureStorageWallSafeClosed,Secure Wall Safe
MPL_SecureOrbSafeClosed,Orb Secure Storage
cntSecureStorageDeskSafeClosed,Secure Desk Safe
cntSecureStorageGunSafeClosedWhite,Secure Gun Safe
cntSecureStorageFootlockerClosedWhite,Secure Footlocker
cntSecureStorageFootlockerClosedArmyGreen,Secure Military Footlocker
cntSecureStorageWoodenChestClosed,Secure Wooden Chest
cntSecureStorageWoodenChestRottenClosed,Secure Rotten Chest
cntSecureStorageOldWestChestClosed,Secure Old West Chest
cntSecureStorageWoodenChestMilitaryClosed,Secure Military Chest
cntSecureStorageToolBoxClosedWhite,Secure Toolbox
cntSecureStorageRollingToolBoxClosedWhite,Secure Rolling Toolbox
treeForestBeech00A,Beech Tree 00 A
treeForestBeech00B,Beech Tree 00 B
treeForestBeech00C,Beech Tree 00 C
treeForestBeech00D,Beech Tree 00 D
treeForestBeech01,Beech Tree 01
treeForestBeech02,Beech Tree 02
treeForestBeech03,Beech Tree 03
treeForestBeech04,Beech Tree 04
treeForestBeech05,Beech Tree 05
treeForestBeech06,Beech Tree 06
treeForestBeech07,Beech Tree 07
treeForestBeech08,Beech Tree 08
treeForestBeech09,Beech Tree 09
treeForestFir01,Fir Tree 01
treeForestFir02,Fir Tree 02
treeForestFir03,Fir Tree 03
treeForestFir04,Fir Tree 04
treeForestFir05,Fir Tree 05
treeForestFir06,Fir Tree 06
treeForestFir07,Fir Tree 07
treeForestFir08,Fir Tree 08
treeWinterFir01,Fir Tree Winter 01
treeWinterFir02,Fir Tree Winter 02
treeWinterFir03,Fir Tree Winter 03
treeWinterFir04,Fir Tree Winter 04
treeWinterFir05,Fir Tree Winter 05
treeWinterFir06,Fir Tree Winter 06
treeWinterFir07,Fir Tree Winter 07
treeWinterFir08,Fir Tree Winter 08
treePlantedSaplingBeech00,Beech Seed
treePlantedSaplingFir00,Fir Seed
treePlantedSaplingWinterFir00,Winter Fir Seed
treePlantedForestBeech00,Planted Beech Tree 00
treePlantedForestBeech01,Planted Beech Tree 01
treePlantedForestBeech02,Planted Beech Tree 02
treePlantedForestBeech03,Planted Beech Tree 03
treePlantedForestFir00,Planted Fir Tree 00
treePlantedForestFir01,Planted Fir Tree 01
treePlantedForestFir02,Planted Fir Tree 02
treePlantedForestFir03,Planted Fir Tree 03
treePlantedWinterFir00,Planted Fir Tree Winter 00
treePlantedWinterFir01,Planted Fir Tree Winter 01
treePlantedWinterFir02,Planted Fir Tree Winter 02
treePlantedWinterFir03,Planted Fir Tree Winter 03
plantBeech00,Beech Plant 00
plantBeech01,Beech Plant 01
plantBeech02,Beech Plant 02
plantBeech03,Beech Plant 03
plantBlackBerry00,Blackberry Plant 00
plantBlackBerry01,Blackberry Plant 01
plantBlackBerry02,Blackberry Plant 02
